,title,recipe_data_output,model_output
0,no bake nut cookies,"[""'brown sugar'"", ""'milk'"", ""'vanilla'"", ""'nuts'"", ""'butter'"", ""'bite size shredded rice biscuits'""]","

Butter, sugar, milk, vanilla extract, cocoa powder, oatmeal, peanut butter, chopped nuts"
1,jewell ball s chicken,"[""'beef'"", ""'chicken breasts'"", ""'cream of mushroom soup'"", ""'sour cream'""]","

Chicken, onion, celery, carrots, garlic, parsley, thyme, bay leaves, black pepper, salt, olive oil."
2,creamy corn,"[""'frozen corn'"", ""'cream cheese'"", ""'butter'"", ""'garlic powder'"", ""'salt'"", ""'pepper'""]","

Creamed corn, butter, cream, salt, pepper, sugar, onion powder, garlic powder."
3,chicken funny,"[""'chicken'"", ""'chicken gravy'"", ""'cream of mushroom soup'"", ""'shredded cheese'""]","

Chicken, Onion, Garlic, Ginger, Green Chilli, Turmeric, Coriander Powder, Cumin Powder, Red Chilli Powder, Garam Masala, Salt, Lemon Juice, Oil."
4,reeses cups candy,"[""'peanut butter'"", ""'graham cracker crumbs'"", ""'butter'"", ""'powdered sugar'"", ""'chocolate chips'""]","

Milk Chocolate, Peanut Butter, Sugar, Partially Hydrogenated Vegetable Oil, Cocoa, Nonfat Milk, Milk Fat, Lactose, Salt, Emulsifier, Soy Lecithin, Vanillin, Artificial Flavor"
5,cheeseburger potato soup,"[""'baking potatoes'"", ""'extra lean ground beef'"", ""'butter'"", ""'milk'"", ""'salt'"", ""'pepper'"", ""'cheddar cheese'"", ""'bacon'"", ""'green onion'"", ""'sour cream'""]","

Potatoes, Onion, Carrots, Celery, Butter, Flour, Milk, Chicken Broth, Salt, Pepper, Cheddar Cheese, Ground Beef, Garlic Powder, Paprika, Parsley"
6,rhubarb coffee cake,"[""'sugar'"", ""'butter'"", ""'egg'"", ""'buttermilk'"", ""'flour'"", ""'salt'"", ""'soda'"", ""'buttermilk'"", ""'rhubarb'"", ""'vanilla'""]","

Flour, sugar, baking powder, baking soda, salt, butter, eggs, milk, rhubarb, cinnamon, nutmeg, vanilla extract."
7,scalloped corn,"[""'cream-style corn'"", ""'whole kernel corn'"", ""'crackers'"", ""'egg'"", ""'butter'"", ""'pepper'""]","

Creamed corn, butter, flour, milk, salt, pepper, breadcrumbs."
8,nolan s pepper steak,"[""'tomatoes'"", ""'water'"", ""'onions'"", ""'worcestershire sauce'"", ""'green peppers'"", ""'oil'""]","

Beef, Onion, Green Pepper, Red Pepper, Garlic, Soy Sauce, Worcestershire Sauce, Brown Sugar, Paprika, Salt, Pepper."
9,millionaire pie,"[""'pineapple'"", ""'condensed milk'"", ""'lemons'"", ""'pecans'"", ""'graham cracker crusts'""]","

Crust, graham cracker crumbs, butter, sugar, cream cheese, condensed milk, lemon juice, vanilla extract, pineapple, coconut, pecans"
